symbol,name,nameid,rank,price_usd,percent_change_24h,percent_change_1h,percent_change_7d,price_btc,market_cap_usd,volume24,volume24a,csupply,tsupply,msupply,timestamp
BTC,Bitcoin,bitcoin,1,9621.14,0.3,-0.6,-1.6,1,1.749864060018e+11,3.4986790462774574e+10,4.035650027480376e+10,1.8187696e+07,18187696,2.1e+07,2020-02-18T13:35:04.000Z
ETH,Ethereum,ethereum,2,262.25,6.18,-0.95,19.11,0.027188999999999998,2.870990389533e+10,2.2535598424255432e+10,2.501574911794614e+10,1.09475492e+08,109475492,NaN,2020-02-18T13:35:04.000Z
XRP,XRP,ripple,3,0.27879,2.33,-1.63,3.09,2.8999999999999997e-05,1.196276922301e+10,3.2115209384518228e+09,3.865344333621181e+09,4.2909539227e+10,99991841593,1e+11,2020-02-18T13:35:04.000Z
BCH,Bitcoin Cash,bitcoin-cash,4,389.61,2.52,-2.5,-12.5,0.040394,7.10992726144e+09,5.638212326308729e+09,6.852481591180759e+09,1.8248965e+07,18248965,2.1e+07,2020-02-18T13:35:04.000Z
BCHSV,Bitcoin SV,bitcoin-cash-sv,5,291.67,8.67,-5.18,-16.9,0.030239999999999996,5.32199527465e+09,3.2976472839499974e+09,3.099364815132058e+09,1.8246402e+07,21000000,2.1e+07,2020-02-18T13:35:04.000Z
LTC,Litecoin,litecoin,6,70.94,1.66,-1.75,-2.85,0.0073549999999999996,4.55767163484e+09,4.940186030175191e+09,6.351278424998416e+09,6.4242483e+07,64242483,8.4e+07,2020-02-18T13:35:04.000Z
USDT,Tether,tether,7,1,-0.04,-0.02,0.24,0.00010400000000000001,4.05632863548e+09,4.866066205702245e+10,5.816995837648215e+10,4.049107372e+09,4049107372,NaN,2020-02-18T13:35:04.000Z
EOS,EOS,eos,8,4.3,3.34,-1.98,-11.38,0.000446,3.99235946653e+09,4.329369661922864e+09,7.144149379629787e+09,9.29000281e+08,1006245120,1.00624512e+09,2020-02-18T13:35:04.000Z
BNB,Binance Coin,binance-coin,9,22.92,4.54,-0.87,-7.99,0.0023769999999999998,3.56550384082e+09,4.186798030884982e+08,4.9373245774480915e+08,1.55536713e+08,192443301,2e+08,2020-02-18T13:35:04.000Z
XTZ,Tezos,tezos,10,3.16,12.23,-3.18,22.61,0.000327,2.08585705688e+09,1.67318427874963e+08,2.002861912139393e+08,6.60373612e+08,763306930,NaN,2020-02-18T13:35:04.000Z
